
Step 63500, Avg Loss: 0.4048073870264925
Step 64000, Avg Loss: 0.41610480631934477
Step 64500, Avg Loss: 0.46589882906060665
Step 65000, Avg Loss: 0.47173995260242374
-----Step 65000, F1 Score: 0.8070598883692864-----
Step 65500, Avg Loss: 0.4302439044751227
Step 66000, Avg Loss: 0.42439685093425217
Step 66500, Avg Loss: 0.40222526160487904
Step 67000, Avg Loss: 0.40788678310392423
Step 67500, Avg Loss: 0.4581126098651439
Step 68000, Avg Loss: 0.43276815478364006
Step 68500, Avg Loss: 0.42487673873547466
Step 69000, Avg Loss: 0.402131794213783
Step 69500, Avg Loss: 0.42610319904144855
Step 70000, Avg Loss: 0.4093465966498479
-----Step 70000, F1 Score: 0.811394694533762-----
Step 70500, Avg Loss: 0.379155134819448
Step 71000, Avg Loss: 0.4159233203451149
Step 71500, Avg Loss: 0.3974622293482535
Step 72000, Avg Loss: 0.4204684457066469
Step 72500, Avg Loss: 0.4250494124912657
Step 73000, Avg Loss: 0.44793614871334286
Step 73500, Avg Loss: 0.4269139830246568
Step 74000, Avg Loss: 0.46501255449885504
Step 74500, Avg Loss: 0.40268128478573634
Step 75000, Avg Loss: 0.4177981788951438
-----Step 75000, F1 Score: 0.8131137479541735-----
Step 75500, Avg Loss: 0.4468577886160929
Step 76000, Avg Loss: 0.424802544599399
Step 76500, Avg Loss: 0.3806128058889881
Step 77000, Avg Loss: 0.4296867002095096
Step 77500, Avg Loss: 0.42250377192161975
Step 78000, Avg Loss: 0.3976694189324044
Step 78500, Avg Loss: 0.4376779151617084
Step 79000, Avg Loss: 0.4008462104673963
Step 79500, Avg Loss: 0.397736804332817
Step 80000, Avg Loss: 0.386696480599232
-----Step 80000, F1 Score: 0.8154264321247243-----
Step 80500, Avg Loss: 0.43893766445852817
Step 81000, Avg Loss: 0.4000885757780634
Step 81500, Avg Loss: 0.42729808686324394
Step 82000, Avg Loss: 0.41453726479038594
Step 82500, Avg Loss: 0.41521318693319337
Step 83000, Avg Loss: 0.40988208091584966
Step 83500, Avg Loss: 0.3871382007661741
Step 84000, Avg Loss: 0.40801540515967644
Step 84500, Avg Loss: 0.37458703356073236
Step 85000, Avg Loss: 0.4342309575236868
-----Step 85000, F1 Score: 0.8151029510917484-----
Step 85500, Avg Loss: 0.4192635208829306
Step 86000, Avg Loss: 0.416352101074066
Step 86500, Avg Loss: 0.3909406269756146
Step 87000, Avg Loss: 0.40868139135558157
Step 87500, Avg Loss: 0.37092533296905456
Step 88000, Avg Loss: 0.4002980638502631
Step 88500, Avg Loss: 0.39384604593552647
Step 89000, Avg Loss: 0.39154403771203944
Step 89500, Avg Loss: 0.39203759728814475
Step 90000, Avg Loss: 0.3813341506703291
-----Step 90000, F1 Score: 0.8264107562353177-----
Step 90500, Avg Loss: 0.40334685962088407
Step 91000, Avg Loss: 0.42934958670288326
Step 91500, Avg Loss: 0.3608765219328925
